Species,Jaccard_dissimilarity_SpeciesExcluded_B02,Jaccard_dissimilarity_SpeciesIncluded_B02,Jaccard_dissimilarity_SpeciesExcluded_Signif_B02,Jaccard_dissimilarity_SpeciesIncluded_Signif_B02
s__Acinetobacter_guillouiae,0.683748445154997,0.39622641509434,,
s__Actinobaculum_massiliense,0.655454943822925,0.697674418604651,,
s__Actinomyces_graevenitzii,0.702988966493093,0.534994988481651,,
s__Actinomyces_odontolyticus,0.674630662345727,0.653623429616092,,
s__Actinomyces_radingae,0.662841345065193,0.72093023255814,,
s__Actinomyces_sp_HMSC035G02,0.695601496132643,0.604875517229969,,
s__Actinomyces_urogenitalis,0.693134517026801,0.498224074692629,,
s__Anaerococcus_vaginalis,0.664894684173138,0.691034471724226,,
s__Anaerostipes_hadrus,0.682487186647036,0.605244431793923,,
s__Bacteroides_dorei,0.663718641515641,0.683289022016361,,
s__Bacteroides_ovatus,0.61162576253769,0.709760647913024,,
s__Bacteroides_stercoris,0.644899286923969,0.730820399113082,,
s__Bacteroides_thetaiotaomicron,0.649830438905424,0.659280779744175,,
s__Bacteroides_uniformis,0.604417103968498,0.677650191947074,,
s__Bacteroides_vulgatus,0.664518356284726,0.655921417308399,,
s__Bifidobacterium_adolescentis,0.602522325106359,0.673080716815683,,
s__Bifidobacterium_bifidum,0.666269567137605,0.669804633366225,,
s__Bifidobacterium_breve,0.643807030116183,0.671968113081984,,
s__Bifidobacterium_dentium,0.644336244342703,0.67469613441392,,
s__Bifidobacterium_kashiwanohense,0.68202681491184,0.605933402346446,,
s__Bifidobacterium_longum,,0.673229729250894,,
s__Bifidobacterium_pseudocatenulatum,0.692490621187145,0.594454454272864,,
s__Candida_albicans,0.68577128144696,0.576388888888889,,
s__Clostridioides_difficile,0.684113613808829,0.526719704831085,,
s__Clostridium_bolteae,0.672697659342938,0.703703703703704,,
s__Clostridium_bolteae_CAG_59,0.672697659342938,0.703703703703704,,
s__Clostridium_neonatale,0.684733519887082,0.438197920677705,,
s__Clostridium_paraputrificum,0.690044821879796,0.576476846302865,,
s__Clostridium_perfringens,0.676469834500252,0.639784799067752,,
s__Collinsella_aerofaciens,0.585889639032485,0.67922177485241,,
s__Collinsella_stercoris,0.603959270715059,0.64863521928861,,
s__Corynebacterium_accolens,0.66878744852482,0.661019684758396,,
s__Corynebacterium_pseudodiphtheriticum,0.698395239271224,0.578993501611742,,
s__Cutibacterium_avidum,0.681212435192004,0.664967602185826,,
s__Dolosigranulum_pigrum,0.711094054999648,0.563313632519385,,
s__Eggerthella_lenta,0.654370068295704,0.612145802408049,,
s__Enterococcus_faecalis,0.603655603655604,0.681892586233148,,
s__Enterococcus_hirae,0.684733519887082,0.438197920677705,,
s__Erysipelatoclostridium_ramosum,0.664475622416327,0.61329296666947,,
s__Escherichia_coli,0.739126016260163,0.654723983768108,,
s__Flavonifractor_plautii,0.656935871593662,0.675,,
s__Gemella_haemolysans,0.649632653768809,0.624355169109498,0.649632653768809,0.624355169109498
s__Gemella_sanguinis,0.702326669874404,0.540073610839685,,
s__Haemophilus_haemolyticus,0.688566320853524,0.432539682539683,,
s__Haemophilus_parainfluenzae,0.678618005936696,0.623300949302209,0.678618005936696,0.623300949302209
s__Haemophilus_sp_HMSC71H05,0.704771116954635,0.581422800964305,0.704771116954635,0.581422800964305
s__Klebsiella_michiganensis,0.682528019881961,0.590824272668899,,
s__Klebsiella_pneumoniae,0.676014187030376,0.586185788507364,,
s__Klebsiella_quasipneumoniae,0.675237025379255,0.593650793650794,,
s__Klebsiella_variicola,0.676014187030376,0.586185788507364,,
s__Lactobacillus_gasseri,0.693509880810053,0.591436350341425,,
s__Lactobacillus_paragasseri,0.680657925966163,0.643464101174183,,
s__Lactobacillus_rhamnosus,0.636620373683044,0.704362960840994,,
s__Negativicoccus_succinicivorans,0.674477042237939,0.753846153846154,,
s__Parabacteroides_distasonis,0.636723719939646,0.685972500837879,,
s__Parascardovia_denticolens,0.677372568338307,0.615776397515528,,
