Species,Jaccard_dissimilarity_SpeciesExcluded_B11,Jaccard_dissimilarity_SpeciesIncluded_B11,Jaccard_dissimilarity_SpeciesExcluded_Signif_B11,Jaccard_dissimilarity_SpeciesIncluded_Signif_B11
s__Actinomyces_graevenitzii,0.635160449336014,0.585044386735528,,
s__Actinomyces_odontolyticus,,0.604371369473994,,0.604371369473994
s__Actinomyces_sp_HPA0247,0.610493059260171,0.576802775247183,,
s__Actinomyces_sp_ICM47,0.637824309167271,0.582953922450624,0.637824309167271,0.582953922450624
s__Adlercreutzia_equolifaciens,0.602996735238789,0.48868301245258,,
s__Agathobaculum_butyriciproducens,0.627952014307159,0.52866983587544,0.627952014307159,0.52866983587544
s__Akkermansia_muciniphila,0.617871099427986,0.56390377777336,,
s__Alistipes_finegoldii,0.615299720538983,0.528681513641059,0.615299720538983,0.528681513641059
s__Alistipes_putredinis,0.618065958863867,0.370360305734741,,
s__Anaerostipes_caccae,0.622943854022422,0.567793911744594,,
s__Anaerostipes_hadrus,0.590807097589993,0.579021663603081,0.590807097589993,0.579021663603081
s__Anaerotruncus_colihominis,0.626052580320908,0.515800064809854,0.626052580320908,0.515800064809854
s__Asaccharobacter_celatus,0.602996735238789,0.48868301245258,,
s__Bacteroides_caccae,0.62838566685576,0.523630629364529,,
s__Bacteroides_dorei,0.589327765917773,0.602828459621958,0.589327765917773,0.602828459621958
s__Bacteroides_faecis,0.62207871894184,0.429109232146474,,
s__Bacteroides_fragilis,0.619679959648827,0.576718652607968,,
s__Bacteroides_galacturonicus,0.628658800088917,0.492236315218571,0.628658800088917,0.492236315218571
s__Bacteroides_ovatus,0.620635753255555,0.589970483735302,,
s__Bacteroides_stercoris,0.620950736311949,0.366598197782469,0.620950736311949,0.366598197782469
s__Bacteroides_thetaiotaomicron,0.612469131704572,0.575008733169205,0.612469131704572,0.575008733169205
s__Bacteroides_uniformis,0.614581302945543,0.58219517438215,,
s__Bacteroides_vulgatus,0.647562404231883,0.581347341795594,0.647562404231883,0.581347341795594
s__Bacteroides_xylanisolvens,0.628311433017112,0.524615668262487,,
s__Barnesiella_intestinihominis,0.617001598377813,0.29901827758868,0.617001598377813,0.29901827758868
s__Bifidobacterium_adolescentis,0.591353602866519,0.579343180625731,0.591353602866519,0.579343180625731
s__Bifidobacterium_animalis,0.619831755314204,0.500552117777195,,
s__Bifidobacterium_bifidum,0.686032123294188,0.597571463967091,0.686032123294188,0.597571463967091
s__Bifidobacterium_breve,0.700594660432354,0.600111804036382,0.700594660432354,0.600111804036382
s__Bifidobacterium_catenulatum,0.616425012565771,0.536807176918837,,
s__Bifidobacterium_dentium,0.607732259075518,0.597484560757188,,
s__Bifidobacterium_kashiwanohense,0.651730291116263,0.571324287050648,0.651730291116263,0.571324287050648
s__Bifidobacterium_longum,,0.604371369473994,,0.604371369473994
s__Bifidobacterium_pseudocatenulatum,0.612441190187056,0.578142780836649,,
s__Blautia_obeum,0.628845273197311,0.392661209387433,0.628845273197311,0.392661209387433
s__Blautia_wexlerae,0.603767646888884,0.601203481696409,0.603767646888884,0.601203481696409
s__Clostridioides_difficile,0.614323893106781,0.60012631208094,,
s__Clostridium_bolteae,0.625855180200149,0.558929904997838,,
s__Clostridium_bolteae_CAG_59,0.621199175637005,0.554661473141128,,
s__Clostridium_citroniae,0.623698575233542,0.547017423298252,,
s__Clostridium_clostridioforme,0.617341354544156,0.552620234163375,,
s__Clostridium_innocuum,0.658549684830642,0.585508822568807,0.658549684830642,0.585508822568807
s__Clostridium_neonatale,0.601603135550299,0.594325393212461,0.601603135550299,0.594325393212461
s__Clostridium_paraputrificum,0.610039878318122,0.60303980210547,,
s__Clostridium_perfringens,0.620202119701681,0.556811067011624,,
s__Clostridium_spiroforme,0.610745501149876,0.542453578933843,,
s__Clostridium_symbiosum,0.631576799403998,0.523556965189969,0.631576799403998,0.523556965189969
s__Collinsella_aerofaciens,0.573237078466511,0.602392554414446,0.573237078466511,0.602392554414446
s__Collinsella_stercoris,0.592463796601749,0.600346000325714,0.592463796601749,0.600346000325714
s__Coprobacillus_cateniformis,0.614596711957836,0.575562574759139,,
s__Coprobacter_fastidiosus,0.619667786887009,0.3784022037826,,
s__Coprococcus_comes,0.625967334410029,0.377747553167196,0.625967334410029,0.377747553167196
s__Coprococcus_eutactus,0.619203602602465,0.419524813687998,0.619203602602465,0.419524813687998
s__Corynebacterium_argentoratense,0.621000113739983,0.551423439422265,,
s__Dialister_invisus,0.622988805636994,0.522292643393981,,
s__Dorea_formicigenerans,0.628800744276637,0.471432077338882,0.628800744276637,0.471432077338882
s__Dorea_longicatena,0.625647136007805,0.434400885586241,0.625647136007805,0.434400885586241
s__Dorea_sp_CAG_317,0.60747669624384,0.485356512560809,,
s__Eggerthella_lenta,0.670756284741167,0.587622137817621,0.670756284741167,0.587622137817621
s__Enterococcus_avium,0.624323565699087,0.586501575895493,,
s__Enterococcus_casseliflavus,0.600060181684513,0.616354153779545,,
s__Enterococcus_faecalis,0.59026028599155,0.637486758760156,0.59026028599155,0.637486758760156
s__Enterococcus_gallinarum,0.597224772321542,0.59005505824731,,
s__Enterococcus_raffinosus,0.607611909137272,0.540800709111958,,
s__Erysipelatoclostridium_ramosum,0.616438356164384,0.609549276243173,0.616438356164384,0.609549276243173
s__Escherichia_coli,,0.612911386211045,,0.612911386211045
s__Eubacterium_eligens,0.605005954060822,0.537642191526318,0.605005954060822,0.537642191526318
s__Eubacterium_hallii,0.619435080357625,0.486189926215673,0.619435080357625,0.486189926215673
s__Eubacterium_ramulus,0.622784365108605,0.327010465419774,0.622784365108605,0.327010465419774
s__Eubacterium_rectale,0.598343283600492,0.599636560517562,0.598343283600492,0.599636560517562
s__Eubacterium_siraeum,0.621095346122968,0.3819122186763,0.621095346122968,0.3819122186763
s__Eubacterium_sp_CAG_251,0.618605193074326,0.454750797715824,,
s__Eubacterium_sp_CAG_38,0.604332300418638,0.568052172294126,,
s__Eubacterium_ventriosum,0.62349748299542,0.336244638121407,0.62349748299542,0.336244638121407
s__Faecalibacterium_prausnitzii,0.618017800404597,0.586615529990627,0.618017800404597,0.586615529990627
s__Firmicutes_bacterium_CAG_83,0.61639130572753,0.446936726029672,,
s__Flavonifractor_plautii,0.645531187520064,0.598604481027011,0.645531187520064,0.598604481027011
s__Fusicatenibacter_saccharivorans,0.610068473921188,0.552758674591428,0.610068473921188,0.552758674591428
s__Gemella_haemolysans,0.579862872532117,0.595785551341649,0.579862872532117,0.595785551341649
s__Gemella_sanguinis,0.638430577934214,0.5861254615789,0.638430577934214,0.5861254615789
s__Gemmiger_formicilis,0.610183223400185,0.503012673709025,,
s__Gordonibacter_pamelaeae,0.645285691037504,0.584818904501083,0.645285691037504,0.584818904501083
s__Granulicatella_elegans,0.636731485226697,0.564027105420606,0.636731485226697,0.564027105420606
s__Haemophilus_parainfluenzae,0.649528785022959,0.573739876017571,0.649528785022959,0.573739876017571
s__Haemophilus_sp_HMSC71H05,0.6295366467159,0.577978640017913,,
s__Haemophilus_sputorum,0.641302714789738,0.531706071769282,0.641302714789738,0.531706071769282
s__Holdemanella_biformis,0.615679885657743,0.507586692241686,,
s__Hungatella_hathewayi,0.635493108180528,0.544852251028392,0.635493108180528,0.544852251028392
s__Intestinibacter_bartlettii,0.613296526340005,0.608564121867789,0.613296526340005,0.608564121867789
s__Intestinimonas_butyriciproducens,0.610303174457986,0.504934383172619,,
s__Klebsiella_oxytoca,0.606503021928312,0.611858388982004,,
s__Lachnospira_pectinoschiza,0.635770159613216,0.526061776384021,0.635770159613216,0.526061776384021
s__Lactobacillus_fermentum,0.598109634623143,0.594293042756567,0.598109634623143,0.594293042756567
s__Lactobacillus_rhamnosus,0.617695821126219,0.446410836288993,,
s__Lactobacillus_rogosae,0.639020794797745,0.456710529438126,0.639020794797745,0.456710529438126
s__Megamonas_funiformis,0.615228108033616,0.450105027609281,,
s__Megasphaera_micronuciformis,0.631310168929193,0.568637201140874,,
s__Odoribacter_splanchnicus,0.610143938014023,0.430445557421187,0.610143938014023,0.430445557421187
s__Parabacteroides_distasonis,0.618533098091058,0.540305679150783,0.618533098091058,0.540305679150783
s__Parabacteroides_merdae,0.625859341060689,0.501464632268148,0.625859341060689,0.501464632268148
s__Parasutterella_excrementihominis,0.613281281819814,0.61429847810877,,
s__Phascolarctobacterium_succinatutens,0.620085696375272,0.23786279366066,0.620085696375272,0.23786279366066
s__Prevotella_copri,0.623421817028801,0.534552742347895,0.623421817028801,0.534552742347895
s__Roseburia_faecis,0.6007536982762,0.566869851913085,,
s__Roseburia_hominis,0.614822828950376,0.478743838311439,,
s__Roseburia_intestinalis,0.603127919111584,0.567045197179749,,
s__Roseburia_inulinivorans,0.608459001176026,0.547151942998761,0.608459001176026,0.547151942998761
s__Rothia_mucilaginosa,0.631760942532848,0.589504866486156,,
s__Ruminococcus_bicirculans,0.607853965867989,0.502311132060447,0.607853965867989,0.502311132060447
s__Ruminococcus_bromii,0.630393955251201,0.561789852272445,,
s__Ruminococcus_gnavus,0.555555555555556,0.610385713910968,0.555555555555556,0.610385713910968
s__Ruminococcus_lactaris,0.6298626325673,0.510974515430025,,
s__Ruminococcus_torques,0.625285117737767,0.505215015151921,0.625285117737767,0.505215015151921
s__Ruthenibacterium_lactatiformans,0.602822363892654,0.535771935846707,,
s__Sellimonas_intestinalis,0.616474807554564,0.585515948198324,,
s__Slackia_isoflavoniconvertens,0.619121730133141,0.380994133693336,,
s__Streptococcus_australis,0.641375708378361,0.57366977917005,0.641375708378361,0.57366977917005
s__Streptococcus_infantis,0.635675067000047,0.556641116763167,0.635675067000047,0.556641116763167
s__Streptococcus_lutetiensis,0.614865722594712,0.606603172486607,,
s__Streptococcus_mitis,0.532728947549877,0.611590714311935,0.532728947549877,0.611590714311935
s__Streptococcus_oralis,0.619546735473341,0.590540501858563,,
s__Streptococcus_parasanguinis,0.597345599296511,0.6000422985013,0.597345599296511,0.6000422985013
s__Streptococcus_pasteurianus,0.610907927737709,0.606174098936063,,
s__Streptococcus_pseudopneumoniae,0.603798010964549,0.571447753881438,,
s__Streptococcus_salivarius,0.596774193548387,0.607256143087169,0.596774193548387,0.607256143087169
s__Streptococcus_sp_A12,0.638640486640597,0.574429264231636,0.638640486640597,0.574429264231636
s__Streptococcus_sp_F0442,0.628153463428204,0.561379131508351,0.628153463428204,0.561379131508351
s__Streptococcus_thermophilus,0.630268800344271,0.593641028978535,,
s__Tyzzerella_nexilis,0.639833526252641,0.551200199465052,0.639833526252641,0.551200199465052
s__Varibaculum_cambriense,0.614846406064054,0.53689209109493,,
s__Veillonella_atypica,0.633683421971597,0.605417083001381,0.633683421971597,0.605417083001381
s__Veillonella_dispar,0.605224424017565,0.590915638047664,0.605224424017565,0.590915638047664
s__Veillonella_infantium,0.602922344023028,0.593535649557131,0.602922344023028,0.593535649557131
s__Veillonella_parvula,0.582353491306815,0.613610028375915,0.582353491306815,0.613610028375915
s__Veillonella_rogosae,0.633220245448508,0.567430393861127,0.633220245448508,0.567430393861127
s__Veillonella_sp_CAG_933,0.629501912148038,0.569645677421711,,
s__Veillonella_sp_T11011_6,0.651594290237991,0.56976477646255,0.651594290237991,0.56976477646255
s__Veillonella_tobetsuensis,0.619907494851557,0.547720841906652,,
